budget_k_pct,budget_k_nodes,strategy,transmissions_blocked,transmission_block_rate_pct,infections_prevented,prevention_rate_pct,selected_index_cases,selected_contacts,sars_pos_contacts_in_selected
1,3,random,4.95,1.7,4.97,3.2,0.8,2.2,1.35
1,3,degree,7.0,2.4,7.0,4.6,2.0,1.0,1.0
1,3,betweenness,1.0,0.3,1.0,0.7,2.0,1.0,0.0
1,3,gnn,6.0,2.1,6.0,3.9,3.0,0.0,0.0
5,17,random,27.73,9.7,26.6,17.4,4.37,12.63,7.67
5,17,degree,24.0,8.4,16.0,10.5,3.0,14.0,8.0
5,17,betweenness,18.0,6.3,18.0,11.8,6.0,11.0,5.0
5,17,gnn,41.0,14.3,41.0,26.8,17.0,0.0,0.0
10,34,random,54.83,19.2,50.4,32.9,8.87,25.13,15.19
10,34,degree,49.0,17.1,34.0,22.2,6.0,28.0,16.0
10,34,betweenness,47.0,16.4,47.0,30.7,11.0,23.0,13.0
10,34,gnn,75.0,26.2,75.0,49.0,34.0,0.0,0.0
